Data,ZamkniÄ™cie
2020-11-01,335.4
2020-11-02,342.7
2020-11-03,365.0
2020-11-04,381.2
2020-11-05,371.1
2020-11-06,383.1
2020-11-07,383.1
2020-11-08,383.1
2020-11-09,371.4
2020-11-10,365.7
2020-11-11,365.7
2020-11-12,372.4
2020-11-13,363.4
2020-11-14,363.4
2020-11-15,363.4
2020-11-16,360.4
2020-11-17,369.6
2020-11-18,374.5
2020-11-19,368.0
2020-11-20,372.2
2020-11-21,372.2
2020-11-22,372.2
2020-11-23,372.6
2020-11-24,371.1
2020-11-25,364.0
2020-11-26,358.9
2020-11-27,362.7
2020-11-28,362.7
2020-11-29,362.7
2020-11-30,389.5
2020-12-01,406.0
2020-12-02,425.0
2020-12-03,421.0
2020-12-04,443.0
2020-12-05,443.0
2020-12-06,443.0
2020-12-07,425.1
2020-12-08,395.0
2020-12-09,395.8
2020-12-10,362.0
2020-12-11,320.5
2020-12-12,320.5
2020-12-13,320.5
2020-12-14,296.1
2020-12-15,300.0
2020-12-16,300.0
2020-12-17,309.2
2020-12-18,271.4
2020-12-19,271.4
2020-12-20,271.4
2020-12-21,256.0
2020-12-22,267.7
2020-12-23,269.0
2020-12-24,269.0
2020-12-25,269.0
2020-12-26,269.0
2020-12-27,269.0
2020-12-28,274.0
2020-12-29,280.5
2020-12-30,274.7
2020-12-31,274.7
2021-01-01,274.7
2021-01-02,274.7
2021-01-03,274.7
2021-01-04,276.4
2021-01-05,265.7
2021-01-06,265.7
2021-01-07,248.0
2021-01-08,239.9
2021-01-09,239.9
2021-01-10,239.9
2021-01-11,246.0
2021-01-12,248.5
2021-01-13,249.9
2021-01-14,265.0
2021-01-15,256.2
2021-01-16,256.2
2021-01-17,256.2
2021-01-18,253.5
2021-01-19,248.2
2021-01-20,252.7
2021-01-21,253.2
2021-01-22,250.1
2021-01-23,250.1
2021-01-24,250.1
2021-01-25,275.7
2021-01-26,300.0
2021-01-27,315.8
2021-01-28,365.0
2021-01-29,305.2
2021-01-30,305.2
2021-01-31,305.2
2021-02-01,305.8
2021-02-02,283.3
2021-02-03,288.0
2021-02-04,291.0
2021-02-05,293.4
2021-02-06,293.4
2021-02-07,293.4
2021-02-08,286.3
2021-02-09,270.0
2021-02-10,269.5
2021-02-11,270.5
2021-02-12,263.0
2021-02-13,263.0
2021-02-14,263.0
2021-02-15,270.0
2021-02-16,270.1
2021-02-17,271.3
2021-02-18,275.0
2021-02-19,265.4
2021-02-20,265.4
2021-02-21,265.4
2021-02-22,258.1
2021-02-23,257.7
2021-02-24,258.2
2021-02-25,251.6
2021-02-26,236.6
2021-02-27,236.6
2021-02-28,236.6
2021-03-01,240.3
